numer_sta;date;pmer;tend;cod_tend;dd;ff;t;td;u;vv;ww;w1;w2;n;nbas;hbas;cl;cm;ch;pres;niv_bar;geop;tend24;tn12;tn24;tx12;tx24;tminsol;sw;tw;raf10;rafper;per;etat_sol;ht_neige;ssfrai;perssfrai;rr1;rr3;rr6;rr12;rr24;phenspe1;phenspe2;phenspe3;phenspe4;nnuage1;ctype1;hnuage1;nnuage2;ctype2;hnuage2;nnuage3;ctype3;hnuage3;nnuage4;ctype4;hnuage4;
07005;20201205120000;99350;-10;8;130;4.600000;278.150000;274.450000;77;20000;0;mq;mq;mq;mq;mq;mq;mq;mq;98480;mq;mq;1160;mq;mq;mq;mq;273.050000;mq;mq;8.000000;9.800000;-10;0;0.000000;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07015;20201205120000;99520;60;0;170;4.800000;278.150000;274.250000;76;54180;0;mq;mq;100;8;800;mq;mq;mq;98950;mq;mq;1310;mq;mq;mq;mq;271.450000;mq;mq;8.400000;9.000000;-10;0;0.000000;mq;mq;0.000000;0.000000;-0.100000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;630;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07020;20201205120000;98390;90;1;280;5.400000;280.050000;278.050000;87;6000;61;6;2;90;7;250;36;mq;mq;98280;mq;mq;290;mq;mq;mq;mq;mq;mq;mq;8.800000;8.800000;-10;mq;mq;mq;mq;0.800000;1.600000;8.500000;9.700000;10.900000;mq;mq;mq;mq;6;7;200;2;8;800;mq;mq;mq;mq;mq;mq;
07027;20201205120000;98810;-40;7;150;8.800000;276.050000;274.850000;92;11740;58;mq;mq;100;8;250;mq;mq;mq;98000;mq;mq;550;mq;mq;mq;mq;274.850000;mq;mq;12.400000;14.400000;-10;2;0.000000;mq;mq;0.400000;1.400000;1.600000;1.600000;1.600000;mq;mq;mq;mq;8;mq;270;mq;9;mq;mq;mq;mq;mq;mq;mq;
07037;20201205120000;99190;-60;8;140;7.600000;277.050000;274.750000;85;58880;0;mq;mq;100;8;450;mq;mq;mq;97360;mq;mq;870;mq;mq;mq;mq;275.250000;mq;mq;12.100000;12.200000;-10;mq;0.000000;mq;mq;0.000000;0.000000;0.000000;-0.100000;-0.100000;mq;mq;mq;mq;8;mq;420;mq;mq;mq;mq;mq;mq;mq;mq;mq;
07072;20201205120000;99670;-20;8;170;5.800000;278.050000;274.850000;80;20000;0;mq;mq;100;8;800;mq;mq;mq;98520;mq;mq;1060;mq;mq;mq;mq;273.150000;mq;mq;8.200000;9.500000;-10;mq;mq;mq;mq;0.000000;0.000000;0.000000;0.000000;0.000000;mq;mq;mq;mq;7;mq;750;8;mq;1410;mq;mq;mq;mq;mq;mq;
07110;20201205120000;99050;90;1;310;9.600000;281.850000;278.950000;82;19820;0;mq;mq;mq;3;800;mq;mq;mq;97890;mq;mq;470;mq;mq;mq;mq;274.850000;mq;mq;19.100000;21.100000;-10;1;0.000000;mq;mq;1.200000;3.000000;4.800000;13.700000;19.500000;mq;mq;mq;mq;2;mq;720;3;mq;1140;5;mq;1800;mq;8;mq;
07117;20201205120000;98760;130;2;320;7.100000;281.650000;278.750000;82;10000;2;2;mq;90;7;450;34;mq;mq;98070;mq;mq;370;mq;mq;mq;mq;mq;mq;mq;13.400000;18.200000;-10;2;mq;mq;mq;0.000000;1.800000;1.800000;6.400000;7.400000;mq;mq;mq;mq;5;8;500;3;6;800;mq;mq;mq;mq;mq;mq;
07130;20201205120000;98840;30;1;230;4.300000;281.050000;279.150000;88;35920;0;mq;mq;90;7;800;mq;mq;mq;98400;mq;mq;340;mq;mq;mq;mq;274.250000;mq;mq;6.600000;9.000000;-10;2;0.000000;mq;mq;-0.100000;-0.100000;1.600000;1.600000;2.200000;mq;mq;mq;mq;5;mq;720;6;mq;900;7;mq;1260;mq;8;mq;
07139;20201205120000;99010;-130;8;150;6.200000;276.550000;275.850000;95;6710;63;mq;mq;100;8;250;mq;mq;mq;97260;mq;mq;540;mq;mq;mq;mq;278.950000;mq;mq;10.500000;11.200000;-10;1;0.000000;mq;mq;2.400000;2.400000;2.400000;2.400000;2.400000;mq;mq;mq;mq;8;mq;210;mq;mq;mq;mq;mq;mq;mq;mq;mq;
